100 125
1 96 68
1 74 51
2 89 87
2 35 12
3 65 98
3 13 65
4 14 54
4 10 69
4 35 76
4 60 98
4 66 41
4 55 39
5 27 6
5 18 21
5 65 57
6 36 90
6 50 38
7 90 27
7 50 97
7 12 31
8 29 62
8 17 30
9 90 69
9 18 21
10 51 73
11 69 52
12 53 81
12 30 58
13 67 94
13 17 29
14 87 10
14 59 92
15 47 42
15 88 17
16 77 74
17 45 56
17 79 10
18 73 80
18 61 43
19 75 82
19 25 10
19 88 50
19 76 66
20 30 100
20 23 84
20 85 92
20 36 94
20 45 15
21 51 10
21 77 69
21 29 57
21 68 74
21 61 30
21 57 73
22 79 36
23 99 22
23 39 79
24 56 6
24 65 75
24 52 64
25 43 58
25 33 16
26 50 86
26 68 18
27 87 10
28 97 15
28 32 68
29 80 52
31 49 50
31 55 22
32 91 55
32 47 1
33 44 78
33 79 59
33 57 66
33 60 6
33 86 52
33 72 99
34 93 80
34 55 100
35 98 91
37 61 5
38 86 15
38 40 3
38 57 48
39 64 93
39 88 8
39 79 16
40 77 5
41 80 99
42 95 34
45 53 47
46 72 74
46 84 50
47 75 47
48 59 24
52 93 88
53 58 37
54 55 74
54 86 13
55 84 8
57 81 73
59 78 88
59 80 22
59 81 36
60 84 96
60 82 15
61 94 92
62 83 79
62 82 34
63 97 78
64 95 45
65 93 99
65 84 22
66 99 55
67 92 95
69 100 97
69 91 39
70 84 31
71 93 58
74 76 38
74 85 40
81 99 72
82 96 92
88 91 86
