100 125
1 67 33
1 77 40
1 8 5
2 20 42
2 99 1
3 81 36
3 70 100
3 49 49
4 30 40
4 10 66
4 77 60
5 30 75
5 64 92
5 89 62
6 32 31
7 22 16
7 35 59
8 27 47
9 16 22
9 14 56
9 32 27
9 93 93
9 39 84
10 47 36
10 26 86
11 75 99
11 34 76
11 26 46
11 31 11
12 51 42
12 65 17
12 21 70
12 50 2
13 63 86
13 60 32
13 59 35
13 35 22
13 89 15
13 98 61
13 53 46
15 22 4
16 42 8
17 82 55
17 42 58
17 47 94
18 24 18
19 36 58
20 62 76
20 68 7
20 97 6
20 49 98
21 73 52
21 69 60
21 100 73
21 83 84
22 41 98
22 84 82
23 35 69
23 56 33
24 56 62
25 44 42
26 50 48
26 55 83
27 72 72
27 51 83
28 66 21
29 68 46
30 78 6
31 70 97
32 40 46
33 71 99
33 66 19
33 43 28
33 61 77
34 85 2
36 65 97
37 56 7
38 96 13
38 91 69
38 52 46
39 53 12
39 62 92
41 62 78
43 44 49
45 98 33
46 87 48
46 49 43
47 86 54
48 88 40
49 59 5
51 68 95
52 65 17
53 61 74
54 57 94
54 99 24
54 94 45
55 88 82
56 86 32
58 88 12
58 78 81
60 74 73
62 64 66
64 98 16
65 72 77
66 85 23
67 90 35
67 97 27
69 91 94
70 93 5
70 92 51
70 88 19
75 76 36
76 91 99
76 93 6
77 100 82
78 95 89
78 91 85
79 94 55
79 86 31
80 86 31
83 97 24
84 100 87
86 89 17
88 92 40
97 99 97
