100 110
1 87 89
1 58 14
2 89 44
2 22 69
2 15 65
3 86 9
3 95 25
4 80 67
4 98 44
5 27 56
5 42 75
6 28 45
7 58 6
8 81 18
8 79 20
8 29 60
9 39 61
9 44 69
9 55 52
9 37 99
9 21 83
9 86 74
10 48 76
10 33 29
10 83 49
11 55 20
12 47 29
13 95 53
13 42 51
14 28 52
15 100 52
15 70 18
15 82 54
16 69 9
16 44 61
17 71 1
17 58 36
18 32 20
19 30 39
20 69 35
21 68 17
21 70 26
22 52 89
22 51 11
23 84 17
23 66 59
23 39 81
24 75 54
24 100 89
25 72 61
25 86 80
26 30 76
27 90 74
27 73 68
28 85 44
28 32 89
29 76 28
30 63 70
31 72 45
32 50 22
32 76 16
32 38 79
32 34 57
33 40 2
34 83 65
34 47 69
34 99 27
35 83 59
36 77 55
37 62 86
38 58 17
39 92 96
40 82 76
41 83 79
42 58 73
43 87 33
45 47 40
45 58 50
46 65 19
49 71 54
51 86 93
53 89 40
54 56 81
54 77 92
54 60 96
56 96 86
57 91 43
57 85 67
58 89 92
59 94 68
59 64 39
60 94 34
61 77 68
61 100 77
62 99 6
62 98 51
63 76 59
64 85 36
65 98 7
67 92 31
69 75 41
69 88 56
72 97 23
74 89 57
75 80 83
76 92 87
78 88 64
78 91 54
85 93 75
86 88 8
