10000 15000
1 3755 95
2 7856 84
3 6202 20
3 2199 34
4 5057 91
5 6513 30
5 9593 10
5 8570 27
5 5948 11
5 8232 49
5 8354 6
5 9786 81
6 5480 1
7 7027 30
8 5736 46
8 2156 62
8 9577 23
9 4612 95
9 5820 51
9 6218 55
10 9758 25
10 4814 91
11 7603 100
11 5668 62
11 4333 75
11 9855 39
12 4533 58
13 8380 86
13 2820 27
13 5792 74
14 5616 100
14 1460 66
14 5899 92
15 6308 68
15 471 79
16 6484 3
17 6984 34
17 6695 63
18 3476 56
19 8756 49
19 1709 63
19 9997 24
19 8530 17
19 4319 16
20 4090 35
20 3848 40
21 9124 23
21 6592 69
21 5200 13
21 6875 66
22 6221 99
22 4338 15
22 3082 30
23 155 75
23 2095 32
24 2965 32
24 2300 70
24 4434 23
24 1763 47
25 9002 90
25 1907 100
25 1367 22
26 1087 76
26 6430 42
26 646 29
26 2115 36
26 319 11
26 9713 79
26 3638 24
27 4106 37
27 7783 87
27 8296 3
27 8839 15
28 2726 52
28 1988 2
28 7434 67
29 6819 92
29 9616 74
29 3782 56
30 9633 29
30 4545 17
30 4021 97
31 4370 31
31 1593 12
32 1758 41
32 8287 98
32 6159 23
32 7480 2
33 3459 59
33 7628 29
33 4526 69
34 7963 49
34 1150 51
34 9539 94
34 4147 91
35 6967 53
35 3510 83
36 343 5
36 2533 92
36 3885 94
36 1330 55
37 7769 26
37 4730 74
37 1314 48
38 1165 74
38 9360 86
38 8670 37
39 6147 44
39 6395 1
39 3636 80
40 1554 27
41 3923 79
41 2698 15
42 3850 80
42 5107 3
42 684 54
43 8139 34
43 9929 25
43 362 1
43 3722 62
44 9533 45
44 6783 28
44 1208 64
44 4389 66
44 8376 71
45 3967 49
45 4362 82
45 5589 11
45 6127 40
45 51 13
46 8754 7
46 9792 37
46 1565 56
46 4435 58
46 2778 71
47 1620 20
47 9482 3
47 9513 33
47 7808 75
47 6398 86
48 8446 11
48 2437 22
48 4486 55
48 6991 34
48 6404 44
49 4560 41
49 6584 34
49 3618 57
49 3730 19
50 599 47
50 3702 93
50 8386 15
50 8462 88
51 5032 58
51 9774 82
52 6574 98
52 2378 92
52 503 100
52 8475 55
52 4860 13
53 3867 42
53 908 31
54 2206 82
54 1343 22
54 1383 55
54 4616 28
54 5722 60
54 4501 81
55 8758 39
55 2244 62
56 3925 88
56 2344 68
57 7151 98
57 8015 64
58 8273 38
58 6850 38
58 3157 80
59 9595 68
59 383 86
59 2861 19
59 7758 97
60 2401 64
61 4448 87
61 4484 45
62 3364 19
62 89 83
63 4127 77
63 1449 80
63 2716 86
63 9166 87
64 688 40
64 1407 25
64 7647 45
65 6655 80
65 3604 25
65 9826 6
65 4224 9
66 3018 28
66 9759 70
66 1597 60
66 3356 89
66 864 49
66 7453 53
67 4147 35
67 449 80
67 4501 35
68 4661 91
68 4036 41
68 7112 18
69 7213 21
69 6686 74
70 2757 42
70 3191 68
70 2909 49
70 9492 79
70 5821 27
71 999 75
71 6156 61
71 5969 30
71 4097 17
72 1047 49
72 4754 50
73 9445 31
73 7210 91
73 8802 92
73 7439 68
73 2719 85
73 1696 3
74 8235 51
74 7826 18
74 93 40
75 1681 51
75 7051 73
76 2277 16
77 4538 26
77 7744 59
77 1109 34
77 2427 4
77 4999 96
77 5529 15
78 4161 74
78 1081 64
79 7093 81
79 9741 2
80 7302 36
80 8628 80
80 5529 25
80 935 97
81 5509 63
81 9376 17
81 7150 36
81 1610 52
82 8989 1
82 8107 28
83 3101 80
83 1892 44
83 9331 7
83 7108 64
83 1847 80
83 7050 99
83 234 17
83 3674 96
84 1958 70
84 7953 33
84 9483 20
85 6232 21
85 4441 86
86 8253 68
86 8959 84
86 616 86
86 8841 60
86 3240 49
87 5789 92
87 5896 89
87 141 16
87 1401 16
88 9869 76
88 4206 22
89 4581 11
89 1053 75
89 1719 61
90 5750 20
90 423 53
90 259 85
90 8527 29
91 6839 30
91 6512 87
91 4738 65
91 1256 44
91 8948 31
92 7643 45
92 961 34
92 8550 12
92 8555 12
92 8056 26
93 2122 66
93 6353 37
93 5571 10
93 4543 78
94 7459 1
94 3657 39
94 583 34
94 3062 66
94 7896 47
95 9264 66
95 2513 37
95 7356 76
95 5708 50
95 8435 92
96 1021 39
96 3152 50
96 2077 51
97 3088 79
97 2454 57
97 2885 43
98 6943 68
98 5000 53
98 9796 51
98 1740 33
99 8826 86
99 5999 78
99 5276 36
99 8656 10
99 5036 39
99 535 4
100 1597 64
100 7038 57
101 4101 55
101 4355 3
101 1527 64
101 7941 52
102 938 29
102 3870 26
103 9832 12
103 3003 98
103 235 45
103 2337 47
104 2153 11
105 6013 65
105 8342 12
105 9971 68
105 1592 83
105 8299 30
105 5996 86
106 984 48
106 3594 19
106 3619 41
107 8505 8
107 3446 31
108 2065 26
108 1331 24
109 3836 17
109 8455 25
110 9440 94
110 5981 85
110 4357 24
111 2772 32
111 6077 87
112 5579 22
112 1186 13
113 8691 4
113 6740 77
113 1000 98
113 5497 89
114 8501 42
114 4195 13
114 5793 16
114 8484 92
115 4186 75
115 2953 82
116 834 25
116 5859 1
116 8813 15
116 8456 83
117 5626 11
117 7366 62
117 4677 16
117 8350 36
118 4972 86
118 1508 16
118 3680 13
118 1776 67
118 7223 61
119 5542 19
119 6908 2
119 1706 100
119 9526 74
120 1414 28
120 7819 49
121 215 5
121 8214 44
121 5957 68
121 9239 62
121 4277 32
122 9665 97
122 6734 10
122 5329 47
122 8211 16
123 9292 9
123 8564 46
