1000 2000
1 541 80
1 116 73
1 248 53
1 447 15
2 490 2
2 958 59
2 141 72
2 379 52
3 110 24
3 300 82
3 840 19
4 814 18
4 331 96
4 900 27
5 444 34
5 307 91
5 81 84
5 623 32
5 462 74
6 824 52
6 340 27
6 213 55
6 980 49
6 358 45
6 469 77
7 718 84
7 99 99
7 53 20
7 351 98
8 954 38
8 742 77
8 178 68
8 177 44
8 127 100
8 498 75
8 804 18
8 225 87
9 387 62
9 221 21
9 423 57
10 270 42
10 946 58
10 695 67
11 307 96
11 529 9
11 947 43
11 629 38
12 490 1
12 733 92
12 775 9
13 558 46
13 51 92
13 102 38
13 408 75
13 960 76
13 616 69
14 801 2
14 776 65
14 396 1
14 340 78
15 549 63
15 611 81
15 34 98
15 131 51
16 347 58
16 54 75
16 479 81
16 642 35
16 387 100
16 423 20
16 963 62
17 450 52
17 708 26
18 979 25
18 625 12
18 894 19
19 172 44
19 76 86
19 48 65
20 938 85
20 615 64
20 304 9
21 575 22
21 488 54
21 118 90
21 961 99
21 459 75
22 231 43
22 834 45
22 709 71
23 224 77
23 812 4
23 618 84
23 692 64
23 376 85
23 706 51
24 869 88
24 700 1
24 827 3
24 235 96
24 467 15
24 702 73
25 242 28
25 582 71
25 918 12
25 667 69
25 636 54
26 978 15
26 449 86
26 898 57
26 238 54
26 807 15
26 847 79
26 86 52
27 171 92
27 936 35
27 481 38
28 796 77
28 113 62
28 945 33
28 784 31
29 621 70
29 904 27
29 492 9
29 928 85
29 779 82
30 779 10
30 629 1
30 107 4
30 793 41
30 773 8
30 699 92
30 667 24
31 812 88
32 293 97
32 395 9
33 211 27
33 652 47
33 642 27
33 788 50
33 640 39
34 50 35
34 523 90
35 992 61
35 801 58
35 195 15
36 237 89
36 781 68
36 190 11
37 763 7
37 642 90
37 508 83
37 764 93
38 803 15
38 826 18
38 363 59
39 728 28
39 413 11
39 338 63
40 735 66
40 555 37
40 191 21
41 505 92
41 568 28
41 511 35
42 906 20
42 689 66
42 782 48
42 759 73
42 819 9
42 812 79
42 679 53
43 366 44
43 255 60
43 66 56
43 195 67
43 409 61
43 494 51
44 729 51
44 798 47
44 849 56
44 761 3
45 327 69
45 900 57
45 229 6
45 956 84
46 346 69
46 738 16
46 733 62
46 53 85
47 530 15
47 458 3
47 989 100
47 633 18
48 99 45
48 298 76
48 934 24
48 662 89
48 526 98
49 376 37
49 539 90
49 151 96
50 510 76
50 956 85
50 982 1
50 689 74
50 737 13
50 495 11
50 512 58
51 741 90
51 534 40
51 447 97
51 676 28
52 512 35
52 542 89
52 323 29
52 419 66
52 457 20
52 85 66
52 192 38
53 67 68
53 167 26
53 695 10
53 689 93
53 491 87
54 826 98
54 919 78
54 114 88
54 254 35
55 126 77
55 593 52
55 881 78
55 533 9
56 713 74
56 378 67
57 97 8
57 804 48
57 69 68
57 396 80
57 531 50
57 373 65
57 71 29
58 112 60
58 776 47
59 532 43
59 247 83
59 730 42
60 284 13
60 665 20
60 811 8
60 900 60
60 703 93
61 579 15
61 263 21
62 132 99
62 250 90
62 397 88
62 221 51
63 65 6
63 955 9
63 248 55
63 382 57
64 360 18
64 94 78
64 660 50
65 474 87
65 732 6
65 951 11
66 320 9
66 310 95
67 687 13
67 331 37
67 697 49
68 225 23
68 588 68
68 496 45
68 829 95
68 162 42
68 772 94
68 389 41
69 318 40
69 184 27
69 386 37
69 496 82
69 278 11
69 572 99
70 875 50
70 179 48
70 668 56
70 503 50
70 192 38
71 438 61
71 773 8
72 547 30
73 955 72
73 802 68
74 462 3
74 144 38
75 566 3
75 552 35
75 926 70
75 254 90
76 928 21
76 202 69
76 952 92
76 85 16
76 574 23
76 917 85
76 153 79
76 881 49
77 506 44
77 685 24
78 746 90
78 92 51
79 477 32
79 318 23
80 646 65
80 897 50
80 191 14
80 420 60
81 794 9
81 408 65
81 508 99
81 107 94
81 751 78
82 873 11
82 166 23
82 372 25
82 443 43
83 932 55
83 195 25
83 641 91
83 643 40
84 977 18
84 766 2
84 683 20
84 102 70
84 164 15
84 898 68
85 536 98
85 213 99
85 109 92
86 110 93
86 741 34
86 883 78
87 289 18
87 384 81
88 423 53
88 810 35
88 660 11
88 902 11
89 497 80
89 846 52
90 804 15
91 209 14
91 410 36
91 897 9
92 753 52
93 852 96
93 256 73
94 449 53
94 825 100
94 299 70
94 371 10
95 557 39
95 501 5
