100 110
1 64 49
2 52 96
3 57 96
3 18 96
4 83 87
4 34 79
5 68 57
6 41 4
6 28 34
6 10 78
7 32 98
7 89 39
8 57 77
9 94 59
9 100 31
10 74 51
11 65 85
12 55 11
12 18 96
12 95 4
12 51 21
13 14 40
13 89 22
15 24 54
15 28 9
16 58 86
16 66 66
17 61 49
17 76 19
17 57 51
19 67 99
19 50 12
20 33 51
20 25 48
21 39 40
21 51 79
21 61 74
22 63 97
22 76 39
23 52 93
23 64 99
25 68 46
26 61 29
27 79 21
27 60 73
27 80 99
28 29 51
29 37 5
29 50 90
30 68 9
31 38 68
31 43 3
32 45 11
33 57 84
34 68 67
35 47 73
35 43 89
35 57 86
35 92 52
36 56 85
36 49 19
39 48 65
39 70 89
40 97 99
41 54 95
42 47 40
43 98 43
43 81 28
44 89 58
44 72 6
44 54 81
45 54 39
46 87 8
46 89 99
47 71 40
47 53 93
47 96 65
49 84 72
49 96 95
50 64 50
52 80 95
53 97 33
54 66 35
57 62 38
57 64 22
58 70 24
59 69 6
59 88 26
59 68 54
61 93 31
64 88 49
64 67 89
65 73 76
68 94 23
69 93 21
70 77 54
72 85 51
73 76 94
74 95 69
75 100 60
75 86 1
76 91 66
77 92 65
78 79 46
82 85 29
82 91 72
85 99 2
86 99 88
88 90 4
89 98 14
