1000 1500
1 379 100
2 501 11
2 991 95
3 147 31
3 28 21
4 70 87
4 617 61
4 395 6
5 23 13
5 24 11
5 970 17
6 641 81
6 218 88
6 800 47
6 296 33
6 669 83
7 128 52
7 136 23
7 816 92
8 13 63
9 832 18
9 746 61
9 771 1
9 404 64
9 314 23
9 728 94
9 625 79
9 190 69
10 281 43
10 955 33
10 594 86
11 258 4
11 67 88
12 854 40
12 962 21
12 110 18
13 94 95
14 1000 8
14 487 83
14 581 35
15 739 20
16 553 16
16 904 41
16 723 49
16 34 68
17 976 97
17 88 68
17 388 100
17 593 14
17 128 90
17 454 49
18 803 84
18 861 57
18 789 79
18 84 67
19 524 83
20 377 75
20 315 37
20 731 28
20 877 65
21 458 73
21 900 79
22 187 80
22 109 68
22 560 92
22 235 84
23 641 29
23 416 66
23 740 59
24 346 59
25 945 24
25 223 79
25 329 5
26 946 69
26 853 68
26 114 64
26 410 26
26 794 73
26 94 68
27 92 49
27 270 21
28 211 98
28 268 77
28 858 21
28 612 2
29 884 24
29 683 32
30 682 72
30 721 62
30 143 18
31 600 85
31 35 9
32 480 65
33 585 45
33 101 42
33 984 2
33 280 18
33 843 5
34 822 26
34 960 31
35 829 83
35 828 36
35 919 62
36 442 84
36 806 98
36 732 40
37 128 12
37 243 14
37 284 54
37 893 16
37 621 73
38 498 78
38 611 72
38 541 9
39 140 29
39 602 56
40 293 69
40 267 2
40 124 26
40 81 66
41 885 25
41 763 48
42 887 64
42 650 66
42 502 28
42 488 54
43 843 52
44 385 1
44 619 45
44 150 9
44 384 61
44 340 50
45 988 20
45 931 72
45 925 27
46 334 91
47 172 81
47 384 43
47 630 59
47 727 20
48 741 40
49 968 67
50 95 72
50 799 24
51 595 54
51 665 30
52 584 75
52 297 13
52 554 2
53 430 62
53 776 48
54 460 85
54 700 46
54 486 16
54 367 69
55 992 20
55 650 84
55 458 10
56 399 59
56 99 61
56 244 4
57 313 30
57 626 19
57 917 84
58 833 78
58 479 53
58 325 9
59 652 48
59 973 51
59 751 77
59 865 80
60 103 2
60 721 95
60 799 61
61 857 75
61 859 83
62 758 31
63 975 12
63 439 7
64 878 25
64 676 4
65 737 67
66 331 46
66 513 19
66 716 98
66 664 35
67 184 37
67 102 59
67 143 95
68 707 5
69 311 55
69 433 60
69 934 97
69 141 53
70 136 59
71 510 51
71 521 30
71 431 3
71 88 74
71 773 75
71 741 5
72 964 55
72 821 28
72 235 78
72 481 19
73 298 56
73 355 71
73 397 13
73 545 64
73 123 6
74 850 81
75 712 1
75 431 85
75 617 47
76 178 54
76 484 53
76 978 37
76 938 38
76 333 7
77 477 6
77 232 25
78 420 85
78 233 70
79 404 33
79 823 87
80 224 87
80 150 42
81 338 62
81 680 29
81 416 3
82 256 97
82 364 55
82 872 77
83 405 39
83 141 17
84 317 82
84 233 8
84 224 15
85 776 50
85 104 25
86 490 14
86 298 45
86 989 21
87 308 95
87 571 11
88 950 16
88 620 62
89 288 10
89 361 14
90 191 75
91 454 8
91 156 69
91 623 87
91 528 41
92 939 54
93 835 65
93 998 21
93 425 18
93 379 60
94 882 98
94 448 95
95 440 9
95 318 79
96 774 7
97 991 41
98 767 23
98 225 1
99 801 68
99 107 100
100 418 7
100 582 68
100 123 33
102 831 20
102 497 30
103 534 67
103 510 66
104 237 7
104 185 66
104 812 41
105 386 74
105 896 8
105 893 83
105 369 21
106 770 77
106 952 57
106 534 76
107 556 11
107 186 95
107 199 44
108 280 13
108 202 69
108 606 77
109 799 59
109 546 2
109 662 92
110 955 17
110 586 95
110 855 98
110 891 4
111 469 9
111 197 38
111 314 6
112 791 82
112 291 37
112 619 32
112 483 61
112 457 21
113 116 12
113 436 60
114 266 2
114 774 35
114 782 39
114 399 58
115 169 26
115 606 81
115 933 64
115 542 75
116 919 71
117 672 60
117 875 70
117 860 80
118 959 37
118 435 91
118 844 63
118 699 18
119 204 85
119 757 6
119 901 38
119 296 7
120 976 73
120 618 38
121 715 17
121 699 72
121 429 85
122 911 15
122 594 65
123 733 33
123 673 20
124 819 17
124 924 94
124 757 36
125 715 91
125 571 90
126 165 33
126 225 59
126 407 94
127 712 25
127 222 32
128 796 35
128 525 32
128 305 41
128 508 62
129 654 91
129 475 90
129 884 11
130 616 78
130 618 86
131 271 51
131 640 40
131 168 51
132 633 38
132 500 17
133 204 83
134 138 67
134 757 90
