100 200
1 46 42
1 79 5
1 19 17
2 85 33
2 30 8
2 69 30
2 59 43
3 55 27
3 26 52
3 84 85
4 38 9
4 30 16
5 13 23
5 19 100
5 52 56
5 28 67
6 100 87
6 77 14
6 57 4
7 30 27
8 36 25
8 97 36
9 90 19
9 56 98
9 51 15
9 72 39
9 37 35
9 28 88
10 58 72
10 93 11
11 40 8
11 49 50
11 25 47
12 100 18
12 60 42
13 41 34
13 93 18
13 38 60
13 100 37
13 32 35
13 66 83
14 28 36
14 30 21
14 48 45
15 87 92
15 62 12
15 17 51
16 83 47
16 18 23
16 77 20
16 49 34
16 60 14
16 96 83
17 23 59
17 82 58
17 45 34
17 97 50
18 95 11
18 58 77
19 29 98
19 94 59
20 44 4
20 30 11
20 81 15
21 84 63
21 63 85
22 94 56
22 50 41
22 31 84
23 69 51
23 83 10
23 45 19
23 57 84
24 80 84
24 87 76
24 49 65
25 74 84
25 63 9
26 67 29
26 27 12
26 30 51
26 83 46
27 76 42
27 63 99
27 82 10
28 53 53
28 38 93
28 36 83
29 52 38
29 31 10
29 81 92
30 70 19
30 45 76
31 47 17
31 61 44
31 58 89
31 59 72
32 37 45
32 65 69
33 96 43
33 77 5
33 65 69
33 37 3
33 71 68
33 53 73
33 34 18
34 95 24
34 51 88
34 43 85
34 97 63
35 39 60
35 36 20
35 89 32
35 84 70
35 86 46
36 45 16
36 66 44
36 92 31
37 50 16
37 76 71
37 70 64
37 57 45
38 39 31
38 97 59
38 58 93
38 53 64
39 96 5
39 41 1
41 98 42
41 57 33
41 47 66
42 57 53
42 52 28
42 67 77
43 93 11
43 91 81
44 86 82
44 99 43
45 88 95
45 82 27
45 76 27
45 80 64
47 87 98
47 72 54
47 100 37
48 57 5
48 92 64
48 60 53
49 52 68
50 89 28
50 63 22
50 51 70
51 92 67
51 73 18
52 96 71
53 55 22
53 93 4
53 81 66
54 97 91
54 56 36
54 80 23
55 80 19
56 94 89
56 100 72
57 60 7
57 99 82
58 66 100
59 99 41
59 71 41
60 78 100
61 97 72
64 98 64
65 96 41
66 79 41
67 68 20
67 90 59
68 98 4
68 73 74
71 76 3
72 88 20
72 84 85
73 84 99
73 93 19
74 75 9
75 91 100
75 92 76
76 85 28
77 90 30
79 81 82
80 88 16
80 100 4
81 88 88
83 92 97
83 86 19
84 92 22
85 95 3
86 89 93
88 100 70
93 97 23
93 95 19
