1000 1100
1 988 19
2 690 1
2 482 61
3 813 83
3 501 86
4 185 88
4 928 27
5 437 37
5 927 30
6 707 52
6 296 65
6 196 74
7 133 27
7 859 87
7 118 40
8 703 12
8 667 6
9 929 4
9 271 20
9 877 43
9 884 73
9 404 19
9 258 27
10 752 25
11 525 34
11 676 22
12 65 17
12 233 91
13 639 34
13 220 85
13 768 21
14 831 50
14 251 48
14 280 15
15 233 30
15 80 93
16 913 22
16 355 39
16 618 44
16 376 15
17 991 23
17 84 42
17 217 55
18 841 90
18 388 80
19 280 98
19 685 86
20 919 60
20 960 1
21 687 19
21 179 55
21 342 4
22 220 30
23 608 99
23 960 16
24 885 55
24 601 47
24 718 78
25 822 12
26 362 56
26 49 9
27 801 47
27 147 6
28 823 40
29 668 57
29 970 96
29 895 58
30 196 6
30 194 54
31 563 19
31 113 89
32 562 53
33 211 38
33 433 37
33 258 12
34 838 67
35 228 20
35 382 32
35 629 14
36 386 88
37 415 69
37 175 22
38 585 100
38 310 38
39 976 43
39 481 28
40 485 43
40 713 15
41 171 36
42 113 42
42 156 19
42 239 2
42 315 32
43 386 73
44 542 20
44 772 81
45 514 31
45 384 87
45 55 29
45 625 40
45 171 97
46 802 78
46 757 27
46 729 54
46 869 52
47 397 43
48 549 69
49 391 93
49 665 87
50 499 25
50 808 33
51 700 41
52 941 56
53 331 87
53 977 20
54 865 82
54 688 10
54 202 75
56 190 54
57 317 41
57 679 36
58 439 3
58 151 100
58 625 56
59 561 80
59 157 33
60 990 99
61 129 99
61 674 89
62 575 4
63 176 96
63 749 56
64 334 25
64 397 68
64 432 9
65 78 46
65 310 63
65 793 9
65 656 90
66 818 12
66 71 52
67 735 52
67 813 97
68 956 66
68 292 7
68 590 81
68 925 77
68 410 91
69 379 91
69 958 74
70 343 43
71 481 78
72 225 62
72 970 85
73 86 53
73 450 52
74 423 55
74 261 60
75 846 96
75 637 82
76 455 48
76 364 58
77 318 12
79 123 31
80 400 35
80 678 85
81 191 15
81 112 80
81 163 58
82 764 13
83 454 61
83 797 44
83 119 46
83 226 80
84 91 21
85 103 11
86 855 33
86 99 76
86 780 24
87 547 30
88 884 86
88 915 52
88 382 15
88 327 72
88 980 13
89 313 12
89 938 67
89 675 10
90 888 49
90 722 93
92 635 8
93 177 47
93 818 67
94 305 52
94 716 85
95 621 76
95 337 75
96 198 68
97 249 23
98 683 97
100 430 56
100 401 33
100 270 96
101 1000 100
101 674 54
101 459 34
101 519 94
102 778 7
102 626 49
103 699 92
103 210 22
103 268 50
104 746 55
104 867 21
104 271 99
105 273 70
105 562 99
105 144 15
106 647 27
106 591 42
107 110 13
108 468 30
109 226 91
109 549 93
109 308 13
110 204 48
111 671 69
112 799 89
113 349 87
114 850 58
115 577 83
116 120 98
116 604 60
117 230 77
117 262 78
118 229 32
118 445 88
119 544 81
119 606 13
119 386 35
119 640 30
120 728 34
121 730 64
121 837 31
122 319 69
122 920 72
122 819 55
123 447 66
124 864 7
124 640 67
125 165 10
126 264 82
126 318 16
126 894 80
127 381 60
127 372 69
128 610 85
128 769 52
128 424 83
130 820 63
130 730 95
131 970 49
131 414 84
