10000 30000
1 4610 1
1 692 44
1 7110 92
1 4541 97
1 716 100
1 741 32
2 6109 41
2 5975 78
2 301 59
2 6514 76
2 7809 67
3 4636 76
3 3892 31
3 6812 44
3 7821 92
3 9886 75
3 8610 85
3 3689 20
4 1102 80
4 5967 91
4 9274 40
4 2533 97
4 4475 2
5 2698 11
5 513 58
5 1696 50
5 9362 81
5 4634 45
5 7857 37
5 355 97
5 9426 8
6 4296 84
6 9170 75
6 5201 13
6 4383 82
7 6541 19
7 5586 2
7 1330 4
7 1192 42
7 2976 73
7 1851 84
7 4316 3
7 8567 69
7 5600 90
8 2126 5
8 3377 2
8 7968 49
8 7804 85
8 9141 64
8 3214 42
9 3248 31
9 7827 52
9 185 14
10 5552 84
10 9252 85
10 2659 64
10 7094 69
10 4979 31
11 8727 40
11 1058 94
11 6405 9
11 1052 78
11 951 32
11 6879 69
11 531 28
11 7247 72
11 1915 38
11 9006 12
12 4656 25
12 8426 65
12 2130 10
12 9347 57
12 7403 43
12 4867 84
12 1960 75
12 7151 96
13 6281 88
13 1771 16
13 5531 29
13 2314 14
13 2685 76
13 8150 16
13 3924 16
14 8500 3
14 9996 7
14 8950 15
15 1174 53
15 4728 38
15 3240 49
15 6426 12
16 9337 96
16 9298 89
16 7452 69
16 2162 91
16 6207 97
16 792 66
16 2999 69
17 7537 35
17 9036 42
17 8669 52
18 8153 15
19 437 24
19 2733 34
19 2992 56
19 8619 2
19 8947 19
19 4441 64
19 7605 76
19 4735 19
20 2855 30
20 1527 3
20 1027 55
20 1673 71
20 9523 53
20 7207 27
20 1653 65
20 9189 61
20 5585 83
20 2395 14
20 3769 78
21 5413 29
21 1004 77
21 5654 86
21 8842 82
21 8646 82
21 9765 83
21 4602 63
21 3167 96
21 3065 38
21 6743 48
22 3512 65
22 4601 51
22 3931 83
23 5411 14
23 7443 39
23 9739 7
23 9085 12
23 5978 39
23 652 51
24 9368 96
24 4781 52
24 302 21
24 1996 2
25 1163 33
25 3069 49
25 7591 85
25 5915 68
