100 200
1 75 46
1 6 36
1 51 21
2 75 18
2 43 46
2 59 53
3 32 34
3 40 1
3 54 3
4 82 38
4 22 52
4 26 21
4 40 7
4 91 24
5 30 30
5 64 64
5 79 73
5 42 51
6 65 97
6 97 70
6 41 7
7 85 9
7 46 40
7 84 74
7 74 2
7 15 31
8 63 98
9 55 81
9 21 19
9 97 79
9 71 58
10 15 19
10 94 44
10 99 42
11 97 48
11 32 38
11 91 36
11 61 27
12 98 88
12 83 14
12 29 74
12 35 31
12 55 64
12 70 95
12 47 16
12 71 45
13 70 59
13 64 15
13 45 24
13 23 83
13 81 94
13 54 44
13 36 54
14 43 53
14 86 93
14 45 10
14 54 9
15 67 65
15 36 60
16 90 28
16 22 55
16 37 71
17 89 54
17 78 17
17 74 62
17 50 5
18 97 35
18 75 1
18 32 68
19 65 53
19 75 42
19 25 46
20 33 40
21 29 4
21 22 34
21 40 68
22 69 86
23 57 50
23 48 26
23 45 61
23 42 39
23 46 9
24 26 98
24 56 66
24 87 67
24 93 16
25 50 67
25 89 30
25 79 15
25 34 35
26 61 60
27 72 70
27 53 10
27 37 64
28 92 6
28 64 90
28 66 36
29 76 59
29 66 5
29 54 20
29 40 67
30 80 21
30 78 36
30 82 45
30 45 18
31 54 11
31 49 18
32 99 66
32 57 74
33 97 96
34 84 15
34 56 80
34 70 33
35 94 4
35 73 78
35 37 20
35 88 6
35 71 8
35 57 97
35 53 48
36 87 2
37 83 2
37 44 83
38 83 100
38 41 20
39 99 100
40 65 86
40 69 40
40 84 2
41 61 92
42 85 45
43 65 33
43 78 96
44 52 73
44 95 58
44 56 33
44 48 77
44 79 57
45 50 61
46 88 46
47 50 48
47 66 83
47 60 10
47 78 49
47 95 77
48 100 72
48 67 40
48 85 5
48 77 23
49 59 65
49 56 70
49 79 76
50 95 87
50 90 94
51 73 61
52 93 72
52 80 53
52 69 55
52 67 42
52 83 53
53 55 97
54 92 2
54 65 69
55 62 87
55 92 88
56 66 78
56 82 81
57 98 9
57 67 7
58 61 3
58 97 12
60 99 1
61 74 62
61 70 55
62 78 33
63 87 87
63 92 15
65 97 14
66 86 34
67 79 43
68 81 14
68 69 48
68 74 8
69 95 64
69 82 2
71 90 5
71 93 64
73 89 12
74 75 39
77 84 18
77 100 36
79 91 34
80 82 83
82 89 36
84 95 83
86 96 28
87 95 23
87 98 14
90 97 30
93 96 20
