1000 3000
1 579 39
1 921 67
1 939 48
1 960 51
1 227 15
1 336 19
2 864 43
2 678 3
2 590 2
2 559 72
2 548 8
2 750 92
2 68 28
2 487 54
3 241 18
3 451 2
3 257 70
3 56 42
3 862 48
3 340 11
4 153 43
4 613 32
4 307 86
4 798 99
4 710 4
4 553 37
4 834 19
4 525 69
5 944 38
5 740 41
5 161 38
5 543 88
5 25 8
5 164 54
6 913 46
6 514 77
7 397 20
7 461 71
7 761 8
7 389 26
7 455 42
7 171 17
8 680 90
8 738 3
8 566 5
8 92 21
8 72 38
8 330 8
8 594 14
9 182 37
9 282 59
9 411 55
9 256 99
9 505 67
9 897 6
9 999 80
10 655 30
10 383 30
10 604 67
10 103 86
10 94 54
11 789 40
11 779 58
11 202 61
11 968 91
11 851 3
11 423 43
11 198 46
11 369 54
12 716 26
12 459 69
12 977 13
12 174 2
12 936 52
12 452 55
13 731 20
13 188 7
13 24 71
13 256 43
13 838 74
13 132 71
13 170 94
13 325 29
13 626 89
13 255 32
14 823 45
14 260 53
14 686 50
14 372 53
14 153 1
15 796 7
15 126 56
15 560 32
15 47 89
15 971 77
15 66 48
16 530 48
16 273 80
16 670 50
16 730 31
16 750 79
16 973 29
16 291 67
16 541 11
16 816 91
17 423 13
17 707 94
17 658 42
17 990 31
17 19 99
17 250 4
17 409 50
18 976 14
18 72 33
18 583 97
18 883 83
18 101 80
18 216 97
18 363 52
18 422 46
19 231 19
19 20 46
19 884 81
19 764 91
20 791 17
20 138 98
20 856 56
20 512 61
20 33 91
21 424 26
21 394 34
21 853 31
21 790 82
21 936 80
22 515 79
22 933 37
22 314 55
22 972 98
22 696 32
23 377 35
23 876 50
23 340 5
23 108 43
23 433 73
23 574 10
23 479 16
23 55 41
24 984 8
24 998 12
24 988 8
24 30 65
24 914 100
24 867 4
25 513 96
25 731 1
25 786 20
26 485 21
26 592 49
26 607 42
26 367 68
26 93 29
26 145 56
26 35 49
26 139 18
27 651 44
27 985 78
27 226 28
27 213 91
27 791 79
27 755 29
28 249 8
28 837 21
28 690 26
28 524 52
28 779 47
28 798 43
28 261 52
29 204 66
29 71 64
29 146 36
30 967 93
30 963 41
30 426 15
30 400 81
30 785 79
30 558 62
30 44 11
31 183 69
31 551 58
31 834 35
31 248 65
31 518 41
31 367 72
31 813 73
31 832 98
32 926 14
32 617 95
32 888 11
32 983 4
32 875 97
32 354 16
32 48 9
32 782 52
33 149 86
33 526 47
33 333 54
34 182 17
34 251 6
34 464 50
35 212 98
35 901 34
35 815 30
35 106 31
35 376 99
35 569 38
35 594 29
36 964 13
36 50 25
36 40 22
36 377 50
37 404 12
37 880 9
37 965 1
37 873 46
37 355 29
37 257 35
37 593 28
37 867 38
38 822 66
38 504 19
38 494 56
38 773 45
38 130 60
39 919 95
39 481 48
39 260 30
39 85 10
40 494 47
40 101 42
40 561 24
40 707 46
40 158 17
40 417 1
40 118 58
41 649 35
41 63 96
41 556 14
41 291 76
41 182 65
42 262 2
42 877 96
42 966 31
42 463 66
42 331 58
43 793 79
43 535 36
43 506 18
43 632 66
43 663 71
43 132 89
44 221 14
44 611 70
44 498 95
44 747 52
44 821 2
44 256 21
44 923 67
45 854 22
45 350 76
45 312 69
45 278 85
45 128 28
45 469 67
45 255 83
45 655 76
46 585 28
46 58 7
46 55 89
46 111 1
46 996 32
46 276 1
47 99 30
47 206 44
47 724 69
47 908 80
47 231 59
47 545 9
48 975 5
48 561 2
48 186 12
48 798 5
49 832 92
49 52 1
49 321 81
49 72 7
50 596 76
50 246 29
50 945 51
50 794 74
50 584 16
50 258 56
50 908 47
51 898 49
51 127 45
51 1000 19
52 475 65
52 283 98
52 305 11
52 325 35
52 126 55
52 484 9
53 458 27
53 239 72
53 169 42
53 779 36
53 833 98
53 737 91
54 564 66
54 715 1
54 860 34
54 847 45
54 349 6
54 91 8
54 367 71
55 532 11
55 913 32
56 974 19
56 94 59
56 650 14
56 868 95
56 581 32
56 425 7
56 207 25
56 958 25
57 533 12
57 160 21
57 344 84
57 169 6
57 837 89
57 331 77
57 745 67
57 251 53
57 878 92
58 551 46
58 256 51
58 180 43
58 789 89
59 798 87
59 309 1
59 284 17
59 64 68
59 539 79
59 612 52
59 592 82
60 529 14
60 747 76
60 461 98
61 173 31
61 131 53
61 983 92
61 973 41
61 402 88
61 429 89
61 665 26
62 146 36
62 955 38
62 164 77
62 346 28
63 746 97
63 637 17
63 297 77
63 335 33
63 82 18
63 71 37
64 603 42
64 998 7
64 392 65
64 919 6
64 885 15
64 142 99
64 440 73
65 232 63
65 946 84
65 113 27
65 592 79
66 857 74
66 275 62
66 804 20
66 321 82
66 334 67
67 74 28
67 946 14
67 303 18
67 925 84
68 939 21
68 913 62
68 297 36
68 244 61
68 128 26
69 246 47
69 486 95
70 503 96
70 515 36
70 880 10
70 562 47
70 236 51
70 792 7
70 187 83
71 385 43
71 239 6
71 451 11
71 763 67
72 405 4
72 898 17
72 664 72
72 922 66
73 669 75
73 452 97
73 467 92
73 947 6
74 344 3
74 562 62
74 538 88
75 360 80
75 958 73
75 104 80
75 508 90
75 957 14
75 183 28
76 497 15
76 541 72
76 191 92
76 152 15
76 261 72
76 702 73
76 667 90
77 434 41
77 874 80
77 853 61
77 826 2
77 516 23
78 695 17
78 392 58
78 812 81
78 399 10
79 81 89
79 515 63
79 601 13
79 125 65
80 993 9
80 212 14
80 824 26
80 849 19
81 850 29
82 826 55
82 646 99
82 182 93
82 418 34
82 965 65
83 108 89
83 412 17
83 823 82
83 978 16
83 224 91
83 785 100
83 149 46
84 928 20
84 134 29
84 459 64
85 172 29
85 95 20
85 125 14
85 922 51
85 314 33
85 602 54
85 933 45
85 294 16
86 442 78
86 917 97
86 373 22
86 676 13
86 94 13
86 356 73
86 598 54
86 897 100
87 592 17
87 296 94
87 206 58
88 335 73
88 329 54
88 659 22
88 226 29
88 885 25
88 687 67
88 122 68
88 92 38
89 171 40
89 887 96
89 792 1
89 144 13
89 944 86
89 393 93
89 316 54
89 521 58
89 364 31
89 328 72
90 738 27
90 365 57
90 675 14
90 570 54
90 621 40
90 421 22
90 523 70
90 331 84
91 208 24
91 674 91
92 519 2
92 454 70
93 912 52
93 892 88
93 187 5
93 98 91
94 248 84
94 319 80
94 171 84
94 734 90
94 502 76
94 971 56
95 463 24
95 627 75
95 654 19
95 702 9
95 681 59
95 272 27
95 306 79
95 686 28
96 722 52
96 209 71
96 302 35
96 131 53
96 601 59
97 201 86
97 359 15
97 460 4
97 552 63
97 601 49
97 238 3
98 349 33
98 225 22
98 439 53
98 560 98
98 645 97
99 253 15
99 113 72
99 313 9
99 533 14
99 778 3
99 710 27
100 861 59
100 968 26
100 845 82
100 105 1
100 290 23
100 873 5
