10000 11000
1 1583 35
1 5709 7
2 4266 39
3 5182 72
4 3667 18
5 3004 20
5 7769 58
6 8516 58
6 8121 23
7 3985 27
8 1171 67
8 8761 54
9 4713 47
9 8329 5
9 6483 38
10 9903 67
10 4409 1
10 6596 5
11 974 55
11 9124 31
12 3135 97
12 2566 6
12 7786 20
13 8616 76
13 4655 81
13 1650 53
14 3783 3
14 1568 23
15 635 45
15 3600 3
16 7636 96
16 8322 69
17 2365 79
18 8041 95
18 8969 85
18 4529 51
19 7576 37
19 1032 79
20 2723 3
20 167 54
20 8238 85
20 6768 55
20 1955 84
21 9493 55
21 2478 34
21 1578 32
21 7156 34
21 2963 11
21 733 11
22 5715 6
22 1863 61
22 6231 7
22 4471 26
23 4667 48
24 5191 12
24 5798 82
25 7594 19
26 3624 56
26 516 66
26 1356 25
26 2701 69
26 9442 78
27 8147 95
27 6159 27
27 3804 34
27 6507 45
28 1788 39
28 8536 58
29 4054 83
29 2689 6
29 9584 13
30 7387 48
31 5720 67
31 651 84
31 4954 89
32 423 16
32 2026 5
33 7496 7
33 9180 57
33 2271 23
34 8975 28
35 1346 12
35 5487 78
36 8773 13
37 5116 5
37 8877 33
38 5554 96
38 8843 79
39 6935 62
39 218 89
39 6393 54
40 6077 85
40 2073 94
40 3550 34
40 5830 76
40 5559 52
41 5257 7
41 9126 48
41 937 74
41 492 100
41 1819 43
42 6682 58
43 7732 56
43 7473 24
44 3077 85
44 5912 80
45 5320 92
45 1125 24
46 4173 87
47 3048 73
47 814 48
47 6512 37
47 1745 96
48 8139 88
49 5666 14
50 1206 42
50 3818 13
50 9043 42
50 4655 67
51 614 33
51 7043 12
52 6367 26
52 969 3
53 4941 85
53 5169 100
54 2964 56
54 943 26
55 1806 17
55 6288 71
55 4554 22
56 7766 57
56 4744 27
56 5738 54
57 5528 14
57 6213 82
57 8938 82
58 915 59
58 8831 81
59 5248 51
59 924 99
60 7179 97
60 6542 76
61 9331 92
61 3101 30
61 2250 38
61 3227 18
61 5357 34
61 6825 36
62 4723 87
62 1329 29
62 5182 39
62 2802 21
63 4378 100
64 9722 13
64 1473 92
64 1927 67
64 7558 35
64 9864 62
64 4172 75
65 9943 21
66 5367 44
66 397 71
67 8083 59
68 7104 100
69 479 40
70 6995 60
70 5600 31
71 6595 80
71 369 13
71 2295 20
72 6298 72
72 7634 40
72 9119 45
73 8780 48
74 2196 66
74 7504 85
75 3373 57
75 9615 61
75 504 69
76 117 74
77 1202 1
77 5902 23
77 9721 45
78 3306 68
78 3555 57
78 2324 6
79 9364 58
80 1181 36
80 679 49
80 9811 55
81 5799 6
81 6416 57
81 693 98
82 1885 85
83 5401 26
83 945 23
83 9006 8
83 7572 82
83 2072 2
84 8093 77
84 3039 86
84 9658 77
85 1241 60
85 3274 59
86 5725 70
87 5903 30
87 1388 99
88 8951 23
88 1165 11
88 6831 63
88 7789 91
89 2667 2
89 4009 16
90 8189 56
90 4536 99
91 4454 46
91 1958 49
91 1510 91
91 9163 72
92 3538 79
93 3908 65
93 5508 81
93 4630 87
94 9925 87
94 3987 40
95 2910 41
95 616 13
95 1072 2
95 5381 59
96 6165 42
96 4529 46
97 4883 4
97 9348 56
97 1629 79
98 3415 31
98 2128 76
98 7850 25
99 8738 41
99 7105 44
99 1464 47
99 4687 90
100 1799 52
101 1902 2
101 2209 3
101 9363 19
102 5227 37
102 2984 74
103 4594 81
103 3506 47
103 1601 65
104 2586 86
105 9410 8
105 4996 16
105 9957 23
105 1472 98
105 5322 58
105 1628 76
106 439 38
106 5621 42
107 6066 64
107 1953 86
108 8157 61
108 7429 5
108 1073 35
109 9739 22
110 4167 23
110 5859 100
111 3580 66
112 9387 4
112 4139 86
112 284 47
112 4020 12
113 5402 4
114 4444 22
114 1111 34
114 2281 53
115 4848 60
115 4579 62
115 6848 78
116 569 19
116 8261 74
117 9551 4
117 8890 56
117 5385 52
117 7232 17
118 8581 76
118 5248 12
119 6928 78
120 8280 84
120 7373 15
120 693 30
120 4549 71
121 6198 21
121 8511 48
121 3027 64
122 6790 39
122 1382 38
122 7679 59
123 4749 5
123 733 10
124 3683 48
124 1413 17
124 3558 40
124 6500 4
125 6901 97
125 7339 6
126 3903 95
126 9155 31
127 5421 12
127 4181 90
128 2420 94
129 1075 96
129 712 70
129 4121 88
130 7401 65
130 2157 15
130 3639 43
131 4302 75
131 1847 92
132 6981 4
132 4889 8
132 3809 33
133 3154 42
134 8415 23
135 5457 57
135 1991 28
136 6212 9
136 4751 20
136 8028 20
137 5346 26
137 7250 76
138 9170 84
138 5610 2
138 7744 65
