10000 15000
1 73 4
2 3734 83
2 8132 22
2 6609 4
2 821 45
3 2393 91
3 4167 23
3 770 2
4 1620 38
5 2742 92
5 9751 60
6 9836 23
6 4948 41
6 9330 22
7 2377 27
7 2670 63
8 7489 40
9 6607 57
10 962 45
10 4394 91
11 1436 60
11 3145 32
11 1657 64
12 1407 65
12 8484 40
13 3693 76
13 1461 27
14 6327 42
14 6197 4
14 1609 93
14 3359 82
14 4393 93
15 7495 40
15 2632 4
15 4021 12
16 8101 83
16 3845 5
17 9890 43
17 6605 5
18 5007 98
18 8257 6
19 4587 95
19 9532 35
20 7994 21
21 8021 43
21 8073 88
21 9945 81
21 8040 67
21 9641 35
21 2001 72
22 8131 23
22 1238 34
22 2064 80
23 1211 95
23 2359 71
24 3415 84
24 8758 18
24 2650 40
24 8252 16
25 5254 18
25 607 57
25 9851 38
26 8447 26
26 4824 35
27 4564 52
27 1132 69
27 5274 1
27 8005 52
27 2798 70
27 8071 68
27 1920 56
27 6256 60
28 6562 71
28 613 14
29 9539 52
29 804 31
29 9343 59
29 4090 31
29 4789 86
30 4029 1
30 479 56
30 703 89
31 44 91
31 1955 99
32 6355 86
33 609 58
33 3142 97
34 9838 67
34 7954 37
34 4053 46
34 636 36
35 5605 100
35 8850 53
36 5640 99
37 3347 27
37 845 8
37 57 15
37 5374 27
38 9352 18
38 9120 8
38 4236 73
38 9174 8
39 6743 10
39 1215 2
39 5447 44
39 1670 24
40 7956 42
41 5566 98
42 5697 85
42 1417 7
42 3344 8
43 3532 31
43 1032 68
43 9218 86
43 7562 93
44 632 44
45 3610 58
45 8001 73
45 7402 6
45 3533 28
46 9191 4
46 8474 58
47 8099 11
47 9999 78
48 7420 20
48 3750 38
48 2516 81
49 5939 66
49 8452 36
49 436 2
49 4471 44
49 5322 92
50 6436 37
50 1728 61
51 7860 86
51 2616 60
52 4114 3
52 6978 34
52 6267 24
53 8696 27
53 189 74
53 4181 68
53 7899 66
54 7896 3
55 7213 82
55 3951 35
55 1645 30
55 6761 64
56 1964 9
56 4168 88
56 2927 3
56 9285 58
57 9030 71
57 7352 18
57 2172 61
57 3061 65
57 3442 63
57 8231 80
58 6354 53
58 2917 34
58 9090 98
