10000 20000
1 2068 29
1 9507 53
1 7479 83
1 9334 13
1 7167 77
1 6120 45
2 9964 12
2 2396 79
2 5484 58
2 8158 4
2 3885 35
2 8083 93
2 1169 95
2 6233 48
3 704 45
3 3452 69
3 5962 44
3 7296 12
4 1660 70
4 999 22
5 7847 60
5 6617 54
5 7014 39
5 1138 8
6 2586 12
6 1469 56
6 4406 95
7 8141 79
7 5678 68
7 7582 94
8 3842 80
8 8243 62
8 108 39
8 7242 8
8 1425 77
9 2319 18
9 2957 40
9 6700 20
9 3188 34
9 8078 49
9 6346 87
10 9342 64
10 5294 76
10 7991 81
10 9268 37
10 2208 72
10 5512 46
11 4236 25
11 9163 96
11 5404 54
11 9548 84
11 2108 54
12 5278 45
12 657 48
12 9787 70
12 2468 5
12 5504 49
12 5119 84
13 7181 10
13 4916 96
13 2777 34
13 8782 93
13 9107 64
13 3517 51
13 6820 25
14 2655 11
14 7730 15
14 834 96
15 4772 88
15 2146 32
15 2637 78
15 9836 26
15 3430 89
16 8406 27
16 1473 50
16 5686 83
17 8930 91
17 6159 93
17 3516 37
17 7123 11
17 3032 50
18 6553 54
18 7964 17
19 3201 99
19 2035 66
19 4933 22
20 5267 97
20 5150 86
20 6998 63
20 737 43
20 346 85
20 2688 90
21 5124 92
21 1140 46
22 8230 45
22 5574 18
23 1870 36
23 3893 70
23 7061 72
24 840 86
24 8922 20
25 868 15
25 6854 90
25 8377 25
25 2524 68
26 1806 95
26 3720 1
26 5820 35
26 2038 99
26 9325 57
26 2127 56
26 8544 39
26 509 16
27 4265 74
27 2320 68
27 9405 28
28 702 57
28 1014 98
28 1437 15
28 1645 99
29 3064 3
29 2667 1
29 7007 63
29 7061 8
30 3217 98
30 4392 9
30 9799 19
30 3586 94
30 97 32
31 1902 92
32 2973 81
32 1840 58
32 2937 41
33 185 93
33 6251 80
33 3346 96
33 3507 62
33 3646 13
34 6908 8
34 5752 14
34 9940 20
34 2408 6
35 8500 87
35 2255 8
35 4336 97
35 7672 51
35 4859 25
35 1896 42
35 974 9
36 7231 86
37 4105 23
38 6304 80
39 3560 77
39 9249 29
39 2357 76
39 3901 75
40 5215 3
40 3641 62
40 4026 63
41 1428 39
41 987 44
41 9991 5
41 5137 79
42 4854 24
42 9084 52
42 8424 2
42 8849 32
43 861 90
43 8275 14
43 5292 95
43 5720 19
44 7690 58
44 1641 86
44 9013 29
45 7840 9
45 2597 12
45 7366 76
45 5838 31
46 4384 49
46 8883 73
46 1952 40
46 8293 80
46 1836 43
46 729 24
46 2051 27
46 1238 75
47 9656 43
