1000 1500
1 527 91
2 41 78
2 968 20
3 791 90
3 39 74
3 583 44
4 667 26
4 608 24
4 145 12
4 980 63
5 411 71
5 256 44
5 560 76
5 21 50
5 331 1
5 398 14
6 460 19
6 665 76
6 736 61
7 393 10
7 67 12
7 627 76
8 465 12
8 139 73
9 694 60
9 94 37
9 845 68
9 187 95
10 796 30
10 376 61
10 118 31
10 562 10
11 769 31
11 662 87
11 160 56
11 706 56
11 438 64
12 404 61
13 954 12
13 643 48
13 41 29
13 636 88
13 484 31
13 800 57
14 481 59
14 186 17
14 234 20
14 268 16
15 433 45
15 341 17
16 163 99
16 248 68
16 840 99
17 485 37
17 874 52
17 574 82
18 904 99
18 249 53
18 548 11
18 961 59
18 253 83
19 44 82
19 40 4
20 562 40
21 929 22
21 126 23
22 291 65
22 116 5
23 172 75
23 610 21
23 280 19
23 829 79
24 368 6
24 200 89
25 664 68
25 896 48
26 430 62
26 707 89
26 910 93
27 124 47
28 595 5
28 541 81
28 733 80
29 836 18
29 798 94
30 876 31
30 158 85
30 160 32
30 520 31
31 724 55
31 540 75
32 830 15
32 646 97
32 863 25
32 783 88
32 428 24
32 178 27
33 877 46
33 382 98
34 412 29
34 35 100
34 116 21
35 603 15
35 77 3
36 764 66
36 204 88
36 111 57
36 618 23
37 941 70
37 839 10
37 809 46
38 534 28
38 583 41
38 962 1
38 210 10
38 590 46
39 304 28
39 871 12
40 744 55
40 334 28
40 383 75
40 616 66
41 852 59
41 988 40
41 718 42
42 500 56
42 873 70
43 100 37
44 201 96
44 355 65
45 897 15
45 972 93
45 293 22
46 672 12
46 931 89
47 135 58
47 98 52
47 89 98
47 991 8
47 540 75
48 310 14
48 573 53
48 93 55
48 596 61
49 500 43
49 183 93
49 343 5
50 506 57
50 95 18
50 708 10
50 337 53
51 187 89
51 909 97
51 671 98
52 972 36
53 854 80
53 116 15
53 866 83
54 158 46
55 822 28
55 763 87
56 647 3
56 790 78
56 270 13
56 660 3
56 655 17
56 532 53
57 404 62
57 820 85
57 407 67
