1000 2000
1 275 60
1 654 65
2 999 95
2 769 5
2 777 60
2 360 9
2 803 72
3 828 43
3 502 40
4 250 83
4 202 87
4 487 6
4 898 22
4 154 55
5 579 42
5 902 59
5 827 42
6 49 75
6 658 72
6 16 4
7 833 61
7 632 39
8 130 39
8 493 45
8 693 45
9 466 42
9 133 69
9 927 18
9 108 26
9 102 2
10 493 79
10 151 47
10 282 57
10 860 11
10 417 8
11 642 25
11 244 67
12 191 85
12 794 40
12 287 59
12 197 100
12 382 13
13 545 88
13 350 59
13 936 26
14 438 16
14 445 10
15 711 3
15 481 7
15 337 77
15 224 99
15 138 23
15 512 48
16 149 38
17 129 48
17 961 22
17 128 83
18 747 91
19 945 6
19 924 57
19 816 4
20 21 19
20 890 58
20 572 63
20 321 48
21 171 57
21 519 87
21 94 78
21 345 20
21 382 33
21 627 91
21 791 13
22 670 40
22 64 80
22 672 20
22 378 72
23 302 95
23 101 62
23 103 39
23 493 75
23 444 57
23 288 3
23 883 74
24 460 36
24 481 90
24 92 100
24 562 70
25 494 28
25 844 53
25 976 91
25 542 64
25 196 83
26 222 33
26 153 22
26 413 54
27 51 98
27 877 98
27 302 44
27 653 94
27 239 2
28 791 19
28 419 37
28 185 41
28 147 52
29 648 80
29 864 1
29 294 87
29 822 36
30 424 99
30 605 13
30 994 32
31 546 19
31 962 29
31 315 79
32 512 17
32 748 17
32 831 21
32 143 44
32 905 37
32 975 88
33 87 61
34 170 96
34 556 19
34 456 47
34 721 37
35 398 43
35 601 64
35 916 67
35 860 75
36 537 66
36 374 86
36 696 60
36 434 19
37 359 51
37 162 9
38 164 91
38 824 5
38 950 71
38 934 88
39 645 31
39 136 32
40 760 5
40 718 71
40 934 78
40 583 60
40 479 11
41 245 4
41 613 53
41 125 4
41 296 38
41 992 47
42 970 71
42 556 99
42 466 3
42 866 52
43 197 52
43 942 55
43 357 98
43 114 43
44 60 62
44 427 44
44 550 61
44 657 4
45 443 8
45 779 62
45 129 15
45 155 24
45 326 20
46 661 59
46 947 36
47 67 10
47 583 84
48 783 100
48 606 75
49 834 65
49 213 15
49 361 1
50 861 48
50 235 62
50 401 87
51 767 9
51 531 96
52 409 100
52 758 64
53 84 36
53 678 22
53 1000 96
54 202 61
54 243 53
55 385 70
55 498 6
55 186 39
55 91 1
56 345 59
56 433 89
56 718 35
56 235 27
56 180 26
56 376 6
56 249 71
57 685 20
57 523 16
57 443 51
58 425 50
58 67 29
58 282 16
59 136 60
59 715 86
59 440 10
60 185 92
60 587 94
61 524 59
61 652 84
61 929 82
62 941 61
62 384 81
62 143 70
63 100 46
63 878 50
63 580 68
64 278 90
64 974 78
64 863 90
64 991 4
64 588 45
65 828 38
65 589 30
66 706 94
66 600 67
66 516 57
66 630 5
67 465 28
67 732 59
67 158 50
67 82 44
67 776 99
68 195 81
68 202 81
68 536 36
68 78 6
69 606 54
69 536 9
69 156 17
69 775 49
70 214 81
70 659 17
70 904 60
70 913 49
70 174 59
70 369 33
71 871 8
71 695 86
71 896 54
71 961 74
72 156 11
72 411 57
72 536 70
72 175 12
73 784 46
73 178 6
73 469 86
74 739 41
74 130 75
74 116 3
74 933 77
75 802 40
75 969 5
76 637 55
76 507 18
76 871 99
77 325 21
77 941 29
77 705 37
78 208 80
78 666 1
79 804 17
79 760 84
79 972 76
79 238 37
79 367 47
79 694 49
79 813 60
80 614 86
80 526 77
80 216 91
80 674 57
81 724 72
81 873 46
81 513 4
82 862 18
83 485 27
83 396 79
83 515 42
83 142 27
83 212 85
84 721 23
84 680 86
85 174 59
85 126 66
85 670 40
85 339 100
85 389 6
85 952 43
86 354 66
86 833 5
86 774 82
87 853 14
87 451 94
87 944 33
87 689 39
88 589 71
89 354 37
89 640 34
90 810 38
90 501 59
90 859 44
91 229 84
91 394 55
91 475 6
91 921 74
92 118 61
92 229 19
92 282 5
92 648 89
93 868 44
93 394 55
93 826 53
93 157 22
93 236 17
93 532 43
93 265 44
94 897 57
94 443 3
94 885 83
94 793 38
94 430 73
95 319 20
95 257 54
96 510 30
96 220 58
96 629 14
97 971 95
97 495 69
98 897 45
98 848 3
98 985 92
98 986 42
98 456 4
99 616 39
99 669 46
99 795 10
99 450 18
99 576 74
99 760 97
100 822 50
100 623 51
100 102 7
100 758 23
100 474 40
100 590 76
101 590 20
101 324 58
102 260 48
102 416 78
102 482 88
103 375 87
103 979 66
103 298 47
104 952 5
104 930 97
104 248 36
104 199 11
104 444 48
105 918 11
105 911 89
105 453 22
105 760 26
105 846 87
105 113 97
106 735 22
106 895 25
107 521 55
107 719 1
107 790 51
108 699 8
108 963 23
108 706 20
108 385 19
108 760 27
109 972 78
109 150 10
109 152 2
109 703 66
109 256 73
109 371 23
109 118 69
109 573 91
110 173 73
111 426 76
111 953 79
111 408 2
111 211 86
111 476 20
112 671 85
112 127 36
112 585 86
112 358 76
112 305 89
113 370 69
113 847 3
113 451 15
113 838 15
113 930 83
113 750 21
114 383 86
114 460 22
114 123 30
114 778 82
115 654 15
115 212 96
115 868 91
116 836 5
116 472 1
116 911 100
116 695 53
116 721 85
117 548 5
117 142 20
118 340 54
119 587 89
119 625 51
119 550 62
119 699 96
119 928 73
120 946 4
120 153 51
120 814 5
120 606 40
120 889 17
121 785 56
121 563 21
121 576 33
121 968 57
121 176 9
122 627 83
122 942 97
122 141 32
122 199 26
123 776 93
123 616 45
124 506 22
125 429 22
125 997 70
125 659 66
125 831 94
126 326 83
126 547 42
126 573 40
126 515 24
127 347 4
127 930 66
128 574 81
128 627 57
129 163 19
129 958 13
129 881 33
129 403 78
130 633 27
130 299 95
131 656 19
131 266 49
131 276 7
131 944 39
131 437 17
131 364 30
131 886 39
131 923 93
132 531 83
132 423 43
132 690 21
132 659 28
133 403 42
133 998 16
133 995 87
133 260 21
133 258 36
133 968 50
134 396 35
135 159 42
135 355 79
135 155 97
135 548 59
136 429 4
136 714 47
136 503 20
137 667 96
137 510 2
137 532 3
138 375 77
138 655 18
138 177 40
139 674 23
139 334 23
139 923 67
139 561 18
140 803 65
140 500 41
140 204 97
140 736 38
140 628 65
141 728 28
141 220 100
141 417 89
141 934 89
141 272 98
141 990 4
142 542 54
142 586 3
143 212 7
143 804 28
143 813 53
144 498 5
144 856 84
144 272 90
144 465 64
145 403 93
145 514 15
145 442 15
145 409 63
146 740 84
146 670 82
146 724 34
146 882 38
146 806 49
147 861 70
147 251 27
147 579 89
148 761 43
148 166 91
148 581 100
148 205 51
149 334 22
150 541 15
150 796 28
150 938 76
150 688 23
150 532 61
150 731 53
151 806 78
152 950 10
152 818 1
154 453 83
154 190 15
154 175 52
154 510 61
154 997 83
155 747 26
155 431 81
155 672 67
155 378 56
156 399 31
156 652 18
156 620 70
157 632 17
157 493 46
157 783 35
157 255 43
158 430 34
158 641 18
158 401 31
158 710 31
158 845 53
159 205 69
159 573 34
160 718 75
161 619 58
161 600 39
161 745 88
161 203 89
162 301 17
162 360 21
163 468 69
163 331 77
163 421 50
164 585 22
164 308 28
164 921 24
164 694 2
164 898 49
164 709 1
164 278 83
165 380 12
165 931 55
165 603 28
165 455 24
166 432 6
167 816 40
167 659 55
167 228 53
168 810 32
168 301 49
169 655 93
169 182 15
169 593 88
169 857 75
169 709 16
170 451 43
171 286 22
171 594 49
171 177 95
171 519 67
172 662 94
172 328 6
172 492 28
172 959 78
173 601 82
174 775 21
174 315 17
174 853 6
174 541 25
175 645 100
175 296 88
175 858 5
176 505 81
176 934 80
177 956 99
177 771 40
177 856 73
178 593 33
178 197 3
178 523 8
179 438 96
179 227 27
179 277 80
180 782 52
180 765 81
181 854 74
181 504 43
181 555 73
182 215 36
182 934 4
182 913 18
182 286 71
182 819 30
182 965 70
183 599 6
183 261 51
183 744 66
184 495 11
184 641 38
184 827 43
185 629 58
185 299 86
185 542 85
185 527 83
185 397 26
186 857 5
186 471 100
186 826 41
186 942 54
187 951 30
187 707 98
187 633 51
188 582 39
188 873 60
188 896 51
188 414 23
188 441 18
189 488 3
189 491 65
190 227 20
190 849 42
191 852 81
191 423 62
191 834 54
191 554 31
191 331 25
192 672 20
192 999 2
193 989 80
193 862 91
193 322 26
193 693 64
193 292 8
194 622 1
194 323 49
194 268 12
195 463 73
195 800 87
196 289 46
197 904 96
197 874 17
198 553 27
198 520 88
198 868 71
198 784 54
198 993 60
199 667 72
199 437 100
200 982 89
200 957 85
200 927 38
200 587 86
201 596 31
201 401 16
201 221 55
202 276 82
202 649 88
203 272 74
203 652 86
203 890 91
204 405 4
204 429 46
204 311 42
205 959 89
206 357 72
207 250 7
207 918 78
207 365 4
207 866 73
208 708 16
208 353 20
208 321 5
208 751 76
208 959 59
208 857 100
208 298 35
209 301 94
209 410 79
210 286 4
210 673 31
210 331 5
210 706 89
210 558 66
211 349 77
211 571 48
211 780 23
211 851 64
211 912 87
212 410 87
212 952 41
213 707 13
214 973 27
216 681 85
216 478 49
217 657 74
217 966 64
217 894 12
217 693 54
218 817 67
218 613 58
218 744 21
218 784 35
219 723 62
219 258 90
220 784 77
221 719 1
221 694 86
222 588 67
222 732 42
222 761 32
222 952 24
222 812 37
223 802 5
223 312 57
223 576 48
224 565 100
224 243 98
224 447 21
224 502 2
225 334 45
226 900 44
226 708 91
226 812 87
226 282 50
227 338 89
227 704 46
227 396 26
227 785 23
227 943 51
228 793 12
228 437 11
228 605 93
228 590 88
228 673 6
229 990 49
229 862 1
229 478 98
229 872 14
230 924 55
230 488 71
230 559 72
230 572 74
231 919 32
231 779 39
231 642 44
231 866 56
232 552 39
232 797 32
232 461 71
233 636 29
233 314 73
233 768 82
234 951 62
234 256 63
234 596 92
235 943 27
236 619 94
236 684 16
236 405 56
236 959 2
237 833 41
