10000 12500
1 3541 19
1 683 9
1 8941 73
1 254 100
1 9859 53
1 7577 7
2 2793 40
2 3063 27
2 830 51
3 8862 9
3 9102 58
3 3365 17
4 6818 63
4 9551 15
4 9045 21
5 456 9
6 5035 62
6 106 97
6 8668 47
7 4648 26
7 1752 84
7 5849 28
7 6652 2
8 4460 87
8 2059 90
9 5527 51
9 4517 96
9 3555 89
9 1093 40
9 4125 50
10 9903 93
10 4136 90
10 9692 98
11 9908 35
11 8293 68
12 569 15
13 2585 76
13 281 82
13 7457 24
14 2462 70
15 9757 98
15 7417 13
16 7212 89
16 5407 36
16 8178 44
17 6017 37
17 1049 52
18 7497 68
18 5518 44
18 6873 37
19 5118 55
19 4569 49
19 4305 84
19 7564 11
19 2721 7
19 2034 21
20 1064 81
21 2036 44
22 4788 89
22 4643 32
23 5684 50
23 9083 61
23 6925 53
23 432 74
24 1227 16
25 8453 98
26 5244 58
26 4618 88
26 9753 45
26 6290 38
27 9418 8
28 7884 61
28 4258 19
28 5822 100
29 5938 66
29 7432 82
30 7651 47
30 3661 45
31 8360 52
31 9546 95
31 8072 87
31 5871 84
32 4508 7
32 7148 65
32 6001 65
32 2023 1
33 620 45
33 116 14
33 8041 81
34 8701 20
34 4647 48
35 9206 54
35 8150 5
36 2507 63
37 3031 81
37 2006 3
37 350 95
38 5483 73
38 5857 5
39 4101 49
39 2886 73
39 4069 62
40 7365 35
41 7181 47
41 7710 77
42 4380 98
42 5977 50
43 1702 95
44 5925 21
44 4045 21
44 672 17
45 204 79
45 6586 83
45 7728 35
46 727 82
46 2664 17
47 4535 43
47 2012 99
47 9915 40
47 2346 11
48 6443 7
48 7125 92
48 5333 51
49 6744 1
49 2802 39
50 435 62
51 368 76
52 1514 55
53 132 68
53 1558 1
54 6561 79
55 2792 82
56 8154 12
56 4983 39
56 5464 34
56 9842 64
57 6695 69
57 5743 97
58 5185 96
58 6403 69
58 9441 88
59 3424 99
59 8551 58
59 3083 21
60 9786 26
60 4020 87
60 5132 26
60 5111 75
60 8214 20
60 7588 94
61 1252 28
61 2833 16
62 7011 69
62 1252 53
62 1842 56
62 1743 57
63 8436 11
63 3117 51
64 4332 22
64 4243 97
64 626 23
65 8478 100
65 6394 65
65 3027 45
66 4850 89
66 8925 27
66 8834 32
66 6764 90
66 8308 95
67 747 95
67 6694 60
68 6537 85
68 4919 6
69 5733 44
69 2807 1
69 179 61
69 2704 2
70 198 35
70 2519 3
70 93 52
71 6311 15
71 3526 79
71 9732 44
72 743 54
73 2892 11
73 160 64
73 6058 29
74 8869 64
74 1384 81
74 5590 35
74 205 56
75 4461 74
75 1451 44
75 8647 41
76 2428 76
77 4333 6
77 3470 84
77 2801 23
78 1080 64
78 7539 42
78 7207 1
79 7263 76
79 8029 13
80 7821 44
81 8476 2
81 7276 26
81 543 38
82 310 28
82 7359 53
83 5242 65
83 3220 59
84 6538 52
84 7150 75
85 1440 40
85 9199 20
86 1116 11
86 7065 32
86 9129 44
87 7846 93
87 1018 90
87 550 32
87 6237 28
88 5543 87
89 534 52
89 7343 91
89 6719 82
89 6231 51
90 2852 5
90 5267 5
91 6178 3
92 9858 16
