100 125
1 28 97
1 66 66
2 44 66
2 98 3
2 16 66
2 17 15
2 68 66
3 68 59
3 71 91
4 32 78
5 93 33
5 75 87
5 89 40
5 58 64
5 74 87
6 67 17
6 81 84
6 34 45
7 100 77
7 54 25
8 51 79
8 36 2
9 74 70
9 25 71
9 97 2
9 96 80
10 22 80
10 95 42
11 73 35
11 62 67
11 40 71
11 30 42
12 20 13
12 60 47
12 51 25
13 37 89
14 95 6
14 64 89
14 59 28
15 31 10
16 22 60
17 83 40
18 69 12
19 76 75
19 98 6
19 68 63
19 79 63
20 78 35
20 77 70
21 96 35
21 52 18
21 38 21
22 26 59
22 52 12
23 91 84
23 87 31
24 85 75
27 86 86
27 49 12
28 38 60
29 99 39
29 89 58
29 33 90
30 90 58
30 54 18
31 42 56
32 69 75
33 75 22
34 53 71
34 87 91
35 99 68
36 38 87
36 94 5
36 63 89
37 46 11
37 89 53
37 49 9
37 66 38
37 91 52
38 54 89
39 83 23
39 70 89
40 92 53
40 61 45
41 65 98
42 56 88
42 70 79
42 50 78
42 79 87
43 72 95
43 57 9
43 56 23
45 98 5
47 89 45
48 79 4
48 52 63
49 81 69
50 52 86
51 58 20
51 54 51
52 97 49
53 63 45
54 84 76
55 71 77
55 70 68
57 59 97
58 87 81
58 72 17
58 95 6
60 61 36
60 69 29
61 97 70
65 98 100
66 94 33
66 87 93
69 88 85
70 88 71
70 85 58
77 81 93
80 100 62
82 87 56
84 97 88
85 90 92
87 100 66
87 97 12
